data,abertura,fechamento,variacao,minimo,maximo,volume
25/03/2021,22.38,22.96,1.91,21.98,23.12,532.46M
24/03/2021,22.77,22.53,-0.09,22.53,23.32,507.58M
23/03/2021,22.81,22.55,-2.3,22.55,23.25,362.01M
22/03/2021,23.23,23.08,-1.87,22.77,23.31,430.73M
19/03/2021,22.98,23.52,2.39,22.78,23.62,879.61M
18/03/2021,23.4,22.97,-2.83,22.76,23.52,603.72M
17/03/2021,22.88,23.64,3.19,22.65,23.76,575.65M
16/03/2021,23.14,22.91,-1.5,22.76,23.22,350.96M
15/03/2021,22.74,23.26,2.47,22.64,23.26,353.53M
12/03/2021,22.81,22.7,-1.09,22.49,23.08,451.11M
11/03/2021,22.5,22.95,2.96,22.44,23.15,894.45M
10/03/2021,21.69,22.29,4.21,21.47,22.29,725.55M
09/03/2021,21.14,21.39,1.86,20.78,21.9,724.72M
08/03/2021,21.7,21,-4.81,20.87,21.99,866.19M
05/03/2021,22.15,22.06,0.87,21.79,22.8,955.36M
04/03/2021,21.12,21.87,4.29,20.93,22.13,1.03B
03/03/2021,21.7,20.97,-4.29,20.6,21.89,1.17B
02/03/2021,21.9,21.91,-0.45,20.74,22.23,1.15B
01/03/2021,22.66,22.01,-0.63,21.99,22.9,916.31M
26/02/2021,22.87,22.15,-3.11,21.96,23.07,1.06B
25/02/2021,24.5,22.86,-3.87,22.71,24.82,1.39B
24/02/2021,24.04,23.78,1.28,23.42,24.41,1.42B
23/02/2021,23,23.48,8.96,22.61,23.77,3.13B
22/02/2021,22.5,21.55,-20.48,21.51,22.05,2.79B
19/02/2021,28.25,27.1,-7.92,26.94,28.47,1.84B
18/02/2021,30.5,29.43,-0.84,29.21,30.95,789.10M
17/02/2021,28.53,29.68,4.14,28.28,29.7,466.21M
12/02/2021,28.31,28.5,0.67,27.88,28.59,307.35M
11/02/2021,28.3,28.31,0.93,28.11,28.67,564.68M
10/02/2021,27.98,28.05,1.23,27.36,28.29,409.08M
09/02/2021,28.38,27.71,-2.6,27.68,28.75,651.21M
08/02/2021,29.17,28.45,-4.14,28.15,29.84,869.09M
05/02/2021,29.31,29.68,1.4,29.01,30.71,885.87M
04/02/2021,29.28,29.27,-0.1,28.75,29.45,283.33M
03/02/2021,29.35,29.3,0.76,29.07,29.58,530.83M
02/02/2021,28.89,29.08,3.45,28.69,29.81,648.14M
01/02/2021,27.81,28.11,2.85,27.48,28.32,450.25M
29/01/2021,28.23,27.33,-4.44,27.33,28.37,483.08M
28/01/2021,27.84,28.6,2.22,27.84,28.96,387.60M
27/01/2021,27.3,27.98,1.38,27.09,28.67,460.58M
26/01/2021,27.85,27.6,-0.47,27.51,28.44,549.49M
22/01/2021,27.49,27.73,-1.28,27.16,27.91,543.47M
21/01/2021,28.53,28.09,-1.89,28.03,28.93,269.92M
20/01/2021,29.35,28.63,-1.68,28.59,29.57,263.54M
19/01/2021,29.18,29.12,1.25,28.39,29.24,318.08M
18/01/2021,28.89,28.76,-0.17,28.75,29.48,292.12M
15/01/2021,29.48,28.81,-3.52,28.65,29.52,590.68M
14/01/2021,29.77,29.86,0.4,29.28,30.04,492.99M
13/01/2021,31.17,29.74,-4.62,29.49,31.28,696.82M
